# Weather station Prague / Vaclav Havel (airport), Czech Republic, WMO_ID=11518,selection from 03.04.2020 till 31.08.2020, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=11518&lang=en
#
"Local time in Prague / Vaclav Havel (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.05.2020 03:00";"4.4";"730.0";"763.3";"0.1";"92";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.2";"No precipitation";"1";"";"";"";"";
"05.05.2020 02:00";"4.5";"730.3";"763.6";"0.6";"92";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"3.3";"No precipitation";"1";"";"";"";"";
"05.05.2020 01:00";"6.4";"730.2";"763.3";"0.7";"88";"Wind blowing from the north-northwest";"3";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"30.0";"4.6";"0.6";"6";"";"";"";"";
"05.05.2020 00:00";"7.5";"729.9";"762.8";"0.5";"85";"Wind blowing from the north-northwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"25.0";"5.1";"No precipitation";"1";"";"";"";"";
"04.05.2020 23:00";"7.9";"729.7";"762.6";"0.8";"88";"Wind blowing from the north-northwest";"6";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"20.0";"6.0";"0.3";"1";"";"";"";"";
"04.05.2020 22:00";"7.9";"729.5";"762.4";"1.3";"90";"Wind blowing from the north-northwest";"7";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"300-600";"";"";"15.0";"6.4";"0.3";"1";"";"";"";"";
"04.05.2020 21:00";"8.3";"729.4";"762.1";"1.7";"92";"Wind blowing from the north";"5";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"13.0";"7.1";"Trace of precipitation";"1";"";"";"";"";
"04.05.2020 20:00";"9.4";"728.9";"761.5";"1.3";"91";"Wind blowing from the north";"8";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"200-300";"";"";"15.0";"8.0";"Trace of precipitation";"1";"";"";"";"";
"04.05.2020 19:00";"10.0";"728.2";"760.6";"0.2";"92";"Wind blowing from the north";"6";"";"12";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"17.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"100-200";"";"";"10.0";"8.8";"Trace of precipitation";"12";"";"";"";"";
"04.05.2020 18:00";"11.9";"727.7";"760.0";"-0.7";"79";"Wind blowing from the north-west";"8";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"35.0";"8.4";"Trace of precipitation";"1";"";"";"";"";
"04.05.2020 17:00";"16.2";"727.6";"759.4";"-1.4";"48";"Wind blowing from the east-southeast";"2";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"50.0";"5.2";"Trace of precipitation";"1";"";"";"";"";
"04.05.2020 16:00";"16.6";"728.0";"759.8";"-1.4";"41";"Wind blowing from the south-southeast";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"60.0";"3.3";"No precipitation";"1";"";"";"";"";
"04.05.2020 15:00";"16.9";"728.4";"760.2";"-1.5";"38";"Wind blowing from the south";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"60.0";"2.5";"No precipitation";"1";"";"";"";"";
"04.05.2020 14:00";"16.5";"729.0";"760.9";"-1.5";"39";"Wind blowing from the south-west";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"60.0";"2.5";"No precipitation";"1";"";"";"";"";
"04.05.2020 13:00";"16.4";"729.4";"761.3";"-1.5";"43";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"50.0";"3.8";"Trace of precipitation";"6";"";"";"";"";
"04.05.2020 12:00";"15.8";"729.9";"761.8";"-1.0";"47";"Wind blowing from the south-southeast";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"4.5";"No precipitation";"1";"";"";"";"";
"04.05.2020 11:00";"15.0";"730.5";"762.6";"-0.5";"45";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"3.2";"Trace of precipitation";"1";"";"";"";"";
"04.05.2020 10:00";"13.8";"730.9";"763.1";"0.0";"52";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"3.9";"No precipitation";"1";"";"";"";"";
"04.05.2020 09:00";"12.6";"730.9";"763.3";"-0.1";"59";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"40.0";"4.8";"No precipitation";"1";"";"";"";"";
"04.05.2020 08:00";"11.9";"731.0";"763.5";"0.2";"64";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"";"50.0";"5.2";"No precipitation";"1";"";"";"";"";
"04.05.2020 07:00";"10.8";"730.9";"763.5";"0.0";"64";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"4.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"50.0";"4.3";"No precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"3.0";"";"";
"04.05.2020 06:00";"6.9";"731.0";"764.1";"-0.2";"79";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"50.0";"3.5";"No precipitation";"1";"";"";"";"";
"04.05.2020 05:00";"5.2";"730.8";"764.0";"-0.4";"84";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"2.6";"No precipitation";"1";"";"";"";"";
"04.05.2020 04:00";"5.8";"730.9";"764.1";"-0.5";"80";"Wind blowing from the south-southwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"2.6";"No precipitation";"1";"";"";"";"";
"04.05.2020 03:00";"6.5";"731.2";"764.3";"-0.3";"80";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"40.0";"3.3";"No precipitation";"1";"";"";"";"";
"04.05.2020 02:00";"6.6";"731.2";"764.2";"-0.3";"79";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"50.0";"3.2";"No precipitation";"1";"";"";"";"";
"04.05.2020 01:00";"7.7";"731.4";"764.4";"-0.2";"75";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"50.0";"3.5";"No precipitation";"6";"";"";"";"";
"04.05.2020 00:00";"7.6";"731.5";"764.5";"-0.2";"77";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"50.0";"3.7";"No precipitation";"1";"";"";"";"";
"03.05.2020 23:00";"8.5";"731.5";"764.4";"0.0";"68";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"60.0";"2.9";"No precipitation";"1";"";"";"";"";
"03.05.2020 22:00";"8.6";"731.6";"764.5";"0.3";"69";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"60.0";"3.2";"No precipitation";"1";"";"";"";"";
"03.05.2020 21:00";"9.2";"731.7";"764.5";"0.5";"66";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"70.0";"3.2";"No precipitation";"1";"";"";"";"";
"03.05.2020 20:00";"10.1";"731.5";"764.2";"0.2";"61";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"70.0";"2.9";"No precipitation";"1";"";"";"";"";
"03.05.2020 19:00";"11.1";"731.3";"763.9";"0.4";"59";"Wind blowing from the north";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"14.4";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"3.4";"Trace of precipitation";"12";"";"";"";"";
"03.05.2020 18:00";"12.6";"731.2";"763.6";"0.0";"52";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"70.0";"3.0";"No precipitation";"1";"";"";"";"";
"03.05.2020 17:00";"12.5";"731.3";"763.7";"0.0";"52";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"70.0";"2.8";"Trace of precipitation";"1";"";"";"";"";
"03.05.2020 16:00";"13.0";"730.9";"763.3";"-0.5";"48";"Wind blowing from the west-southwest";"5";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"Altocumulus translucidus at a single level.";"";"60.0";"2.3";"Trace of precipitation";"1";"";"";"";"";
"03.05.2020 15:00";"13.2";"731.2";"763.5";"0.0";"43";"Wind blowing from the west-northwest";"4";"";"";"70 – 80%.";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"60.0";"0.7";"No precipitation";"1";"";"";"";"";
"03.05.2020 14:00";"12.8";"731.3";"763.7";"0.1";"47";"Wind blowing from the west-northwest";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"60.0";"1.8";"No precipitation";"1";"";"";"";"";
"03.05.2020 13:00";"12.2";"731.4";"763.9";"0.4";"52";"Wind blowing from the west-northwest";"4";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"";"45.0";"2.6";"Trace of precipitation";"6";"";"";"";"";
"03.05.2020 12:00";"11.5";"731.2";"763.8";"0.4";"54";"Wind blowing from the west-northwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"";"";"35.0";"2.3";"No precipitation";"1";"";"";"";"";
"03.05.2020 11:00";"10.5";"731.2";"763.8";"0.9";"60";"Wind blowing from the west-northwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"1000-1500";"";"";"40.0";"3.0";"No precipitation";"1";"";"";"";"";
"03.05.2020 10:00";"10.6";"731.0";"763.6";"1.3";"65";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"35.0";"4.3";"No precipitation";"1";"";"";"";"";
"03.05.2020 09:00";"9.4";"730.8";"763.6";"1.8";"66";"Wind blowing from the west-northwest";"4";"";"";"90  or more, but not 100%";"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"";"";"40.0";"3.2";"No precipitation";"1";"";"";"";"";
"03.05.2020 08:00";"9.4";"730.3";"763.0";"1.9";"73";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"4.8";"No precipitation";"1";"";"";"";"";
"03.05.2020 07:00";"7.6";"729.7";"762.7";"1.7";"80";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"5.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"4.3";"Trace of precipitation";"12";"Dry (without cracks, no appreciable amount of dust or loose sand)";"4.0";"";"";
"03.05.2020 06:00";"7.1";"729.0";"761.9";"1.5";"80";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"3.9";"No precipitation";"1";"";"";"";"";
"03.05.2020 05:00";"6.3";"728.4";"761.4";"1.1";"82";"Wind blowing from the west";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"30.0";"3.5";"No precipitation";"1";"";"";"";"";
"03.05.2020 04:00";"6.2";"728.0";"761.0";"0.7";"82";"Wind blowing from the west";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"";"";"40.0";"3.4";"No precipitation";"1";"";"";"";"";
"03.05.2020 03:00";"6.0";"727.5";"760.5";"0.5";"82";"Wind blowing from the west";"6";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1500-2000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"3.1";"No precipitation";"1";"";"";"";"";
"03.05.2020 02:00";"5.9";"727.3";"760.3";"0.6";"80";"Wind blowing from the west-southwest";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"40.0";"2.7";"No precipitation";"1";"";"";"";"";
"03.05.2020 01:00";"6.1";"727.3";"760.3";"0.8";"79";"Wind blowing from the west-southwest";"5";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"2.6";"Trace of precipitation";"6";"";"";"";"";
"03.05.2020 00:00";"6.2";"727.0";"760.0";"1.0";"76";"Wind blowing from the west-southwest";"6";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"35.0";"2.3";"No precipitation";"1";"";"";"";"";
"02.05.2020 23:00";"6.4";"726.7";"759.6";"1.5";"74";"Wind blowing from the west-southwest";"3";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"2.1";"No precipitation";"1";"";"";"";"";
"02.05.2020 22:00";"6.6";"726.5";"759.4";"2.4";"74";"Wind blowing from the west";"4";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"50.0";"2.3";"Trace of precipitation";"1";"";"";"";"";
"02.05.2020 21:00";"6.7";"726.0";"758.8";"2.1";"74";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"2.4";"No precipitation";"1";"";"";"";"";
"02.05.2020 20:00";"5.2";"725.2";"758.2";"1.8";"80";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"50.0";"2.0";"No precipitation";"1";"";"";"";"";
"02.05.2020 19:00";"8.3";"724.1";"756.7";"1.3";"66";"Wind blowing from the west-northwest";"3";"";"";"50%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"15.2";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"70.0";"2.3";"0.1";"12";"";"";"";"";
"02.05.2020 18:00";"9.6";"723.9";"756.3";"0.9";"62";"Wind blowing from the north-west";"8";"";"14";"50%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"40.0";"2.5";"Trace of precipitation";"1";"";"";"";"";
